,Country,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,Country_clean_deaths,Country_Binned_deaths
162,Romania,0,0,82,717,1266,1651,2343,3621,4825,6968,11331,15767,18335,Romania,Europe
163,Russia,0,0,17,1073,4693,9306,13939,17128,20630,27787,39491,56271,72029,Russia,Europe
164,Rwanda,0,0,0,0,1,2,5,16,29,35,49,92,196,Rwanda,Africa
165,Saint Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Europe
166,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint Kitts and Nevis,North America
167,Saint Lucia,0,0,0,0,0,0,0,0,0,0,2,5,13,Saint Lucia,North America
168,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,2,Saint Vincent and the Grenadines,North America
169,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,Samoa,Australia
170,San Marino,0,0,26,41,42,42,42,42,42,42,46,59,67,San Marino,Europe
171,Sao Tome and Principe,0,0,0,0,12,13,15,15,15,16,17,17,17,Sao Tome and Principe,Africa
172,Saudi Arabia,0,0,10,162,503,1649,2866,3897,4768,5402,5896,6223,6375,Saudi Arabia,Asia
173,Senegal,0,0,0,9,42,112,205,284,311,324,333,410,628,Senegal,Africa
174,Serbia,0,0,16,179,243,277,573,713,749,820,1604,3211,4020,Serbia,Europe
175,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,4,Seychelles,Africa
176,Sierra Leone,0,0,0,7,46,60,67,70,72,74,74,76,79,Sierra Leone,Africa
177,Singapore,0,0,3,15,23,26,27,27,27,28,29,29,29,Singapore,Asia
178,Slovakia,0,0,0,23,28,28,29,33,48,219,839,2138,4642,Slovakia,Europe
179,Slovenia,0,0,15,91,108,111,119,133,150,338,1435,2697,3503,Slovenia,Europe
180,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,Solomon Islands,Australia
181,Somalia,0,0,0,28,78,90,93,98,99,104,113,130,130,Somalia,Africa
