,Country,January_2020_recovery,February_2020_recovery,March_2020_recovery,April_2020_recovery,May_2020_recovery,June_2020_recovery,July_2020_recovery,August_2020_recovery,September_2020_recovery,October_2020_recovery,November_2020_recovery,December_2020_recovery,January_2021_recovery,January_2020_cases,February_2020_cases,March_2020_cases,April_2020_cases,May_2020_cases,June_2020_cases,July_2020_cases,August_2020_cases,September_2020_cases,October_2020_cases,November_2020_cases,December_2020_cases,January_2021_cases,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,ages_10-14_female,ages_10-14_male,ages_20-24_female,ages_20-24_male,ages_30-34_female,ages_30-34_male,ages_40-44_female,ages_40-44_male,ages_50-54_female,ages_50-54_male,ages_65_and_above_female,ages_65_and_above_male,Countries_Binned
153,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.648921332,7.850550947,4.736616069,6.136644142,5.555915969,6.103525517,6.848215757,6.93989652,7.505978184,6.912668844,21.97707595,17.17599424,North America
154,Qatar,0,0,62,1372,30290,81564,107377,115667,122699,129583,136090,141422,145806,0,1,781,13409,56910,96088,110695,118778,125760,132556,138833,143834,151335,0,0,2,10,38,113,174,197,214,232,237,245,248,8.199126763,2.767537793,6.965571541,9.583735056,13.27091833,17.89980038,7.991124472,9.425920814,4.227614344,5.531747754,1.807171999,1.429889839,Asia
155,Romania,0,0,220,4017,13256,19050,27007,37869,102476,172513,353188,560793,674594,0,3,2245,12240,19257,26970,50886,87540,127572,241339,475362,632263,728743,0,0,82,717,1266,1651,2343,3621,4825,6968,11331,15767,18335,5.264304582,5.872554107,4.970666896,5.644795067,6.707307694,7.720087528,7.703902297,8.392906268,7.353037133,7.719514175,21.92716245,15.47705013,Europe
156,Russia,0,2,121,11619,171883,411973,637217,807339,954788,1208440,1763493,2527722,3264611,2,2,2337,106498,405843,646929,838461,992402,1170799,1606267,2275936,3127347,3808348,0,0,17,1073,4693,9306,13939,17128,20630,27787,39491,56271,72029,,,,,,,,,,,,,
157,Rwanda,0,0,0,104,256,447,1106,2013,3154,4879,5516,6542,10087,0,0,75,243,370,1025,2022,4063,4840,5137,5934,8383,15304,0,0,0,0,1,2,5,16,29,35,49,92,196,11.8529597,12.20298913,9.068407121,9.19018847,7.613070664,7.645720668,4.646797652,4.458156075,2.768402075,2.868635723,3.494053437,2.546242511,Africa
158,Saint Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
159,Saint Kitts and Nevis,0,0,0,6,15,15,16,17,17,19,19,29,35,0,0,8,15,15,15,17,17,19,19,22,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
160,Saint Lucia,0,0,1,15,18,19,22,25,27,28,131,289,618,0,0,13,17,18,19,25,26,27,78,259,353,1195,0,0,0,0,0,0,0,0,0,0,2,5,13,,,,,,,,,,,,,
161,Saint Vincent and the Grenadines,0,0,1,8,15,29,44,57,64,70,79,98,251,0,0,1,16,26,29,54,60,64,74,85,121,901,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
162,Samoa,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3872267,11.43288498,8.131329596,8.56829144,5.618946461,5.883102623,5.083658467,5.057644798,4.406398216,4.550801929,5.703078169,4.214540606,Australia
163,San Marino,0,0,13,78,357,656,657,660,680,721,1299,2042,2723,0,1,236,569,671,698,699,715,732,928,1612,2428,3025,0,0,26,41,42,42,42,42,42,42,46,59,67,..,..,..,..,..,..,..,..,..,..,..,..,Europe
164,Sao Tome and Principe,0,0,0,4,68,236,778,851,886,904,933,971,1023,0,0,0,14,483,714,871,896,911,945,991,1014,1257,0,0,0,0,12,13,15,15,15,16,17,17,17,13.16399378,13.406622,8.277409086,8.461960209,6.494038367,6.604343422,4.930331264,4.884259044,3.414093841,3.282192341,3.369416495,2.549925194,Africa
165,Saudi Arabia,0,0,165,3163,62442,130766,235658,290796,319154,333842,346802,353853,359573,0,0,1563,22753,85261,190823,275905,315772,334605,347282,357360,362741,368074,0,0,10,162,503,1649,2866,3897,4768,5402,5896,6223,6375,8.76425449,6.634209705,7.90281144,6.46268826,9.564144197,10.0446068,8.656929649,11.28971814,4.003501002,6.143806879,3.777253112,3.145221996,Asia
166,Senegal,0,0,40,334,1801,4431,6776,9439,12437,14853,15607,17254,21970,0,0,175,933,3645,6793,10232,13611,14982,15616,16089,19140,26523,0,0,0,9,42,112,205,284,311,324,333,410,628,12.02821006,12.93341302,8.883285115,9.296951223,6.78338702,6.483235937,4.692423133,4.020017535,3.016013669,2.486839064,3.511802316,2.664289751,Africa
167,Serbia,0,0,0,1343,6698,12662,0,0,0,0,0,0,0,0,0,900,9009,11412,14564,25552,31406,33551,46954,175438,337923,395263,0,0,16,179,243,277,573,713,749,820,1604,3211,4020,5.338559358,5.947512056,5.791385685,6.431846465,6.715966625,7.375826189,6.97848209,7.248867001,6.460915208,6.483249113,20.93707763,16.45336158,Europe
168,Seychelles,0,0,0,6,11,11,39,127,140,149,162,214,1015,0,0,10,11,11,81,114,136,144,153,183,256,1205,0,0,0,0,0,0,0,0,0,0,0,0,4,7.4452432,7.397293041,6.640181612,6.705603285,6.818850633,7.843801702,7.323327868,7.97536229,7.003825619,6.811250424,9.135241939,6.546135906,Africa
169,Sierra Leone,0,0,0,21,454,974,1362,1594,1687,1800,1836,1892,2282,0,0,1,124,861,1462,1823,2022,2231,2366,2412,2611,3593,0,0,0,7,46,60,67,70,72,74,74,76,79,12.43652067,12.52286224,9.373215931,9.474598227,6.77071985,7.035643285,4.531557602,4.700809317,2.975945226,2.874934267,3.369854889,2.523811356,Africa
170,Singapore,0,72,240,1244,21699,38500,46491,55658,57488,57913,58134,58449,59228,13,102,926,16169,34884,43907,52205,56812,57765,58015,58218,58599,59536,0,0,3,15,23,26,27,27,27,28,29,29,29,4.292081644,4.068229289,6.615157638,7.454712059,7.454782281,7.533310557,8.260532725,8.162526422,7.858561297,8.233258487,13.61963359,11.27618551,Asia
171,Slovakia,0,0,3,524,1366,1464,1695,2377,4395,12617,66041,125971,216052,0,0,363,1396,1521,1667,2292,3917,10141,57664,105929,179543,249913,0,0,0,23,28,28,29,33,48,219,839,2138,4642,,,,,,,,,,,,,
172,Slovenia,0,0,10,233,1358,1384,1797,2296,3804,12091,54138,99382,145722,0,0,802,1429,1473,1600,2156,2883,5690,34307,75814,122152,166473,0,0,15,91,108,111,119,133,150,338,1435,2697,3503,4.734523023,5.079328568,4.530111019,4.891445118,6.331407991,6.933904458,7.110453366,8.015684016,7.188616531,7.453290087,22.94443327,17.40318783,Europe
173,Solomon Islands,0,0,0,0,0,0,0,0,0,4,5,5,10,0,0,0,0,0,0,0,0,0,8,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2775218,11.6297984,8.639316727,9.089734631,6.463086086,6.048763587,5.673082472,5.231926526,3.268750057,3.202165705,3.803619863,3.464070327,Australia
174,Somalia,0,0,1,31,348,910,1562,2481,2946,3185,3417,3612,3666,0,0,5,601,1976,2924,3212,3310,3588,3941,4451,4714,4784,0,0,0,28,78,90,93,98,99,104,113,130,130,13.2834886,13.50261734,9.519405996,9.592392194,5.417134311,5.345162643,3.672409273,3.494443518,2.65363161,2.469833235,2.991239501,2.78661738,Africa
175,South Africa,0,0,31,2073,16809,73543,326171,540923,608112,654182,731242,879671,1299620,0,0,1353,5647,32683,151209,493183,627041,674339,725452,790004,1057161,1453761,0,0,5,103,683,2657,8005,14149,16734,19276,21535,28469,44164,8.97507371,9.412074485,8.295080317,8.651245273,8.885949393,9.307522406,6.258012695,6.339938506,4.604406248,4.36159544,6.456982592,4.343074548,Africa
176,South Korea,0,27,5408,9072,10422,11613,13233,15198,21666,24357,27885,42953,68309,11,3150,9786,10774,11503,12850,14336,20182,23889,26635,34652,61769,78508,0,16,162,248,271,282,301,324,415,466,526,917,1425,,,,,,,,,,,,,
177,South Sudan,0,0,0,0,6,279,1175,1290,1290,1290,2954,3131,3613,0,0,0,35,994,2007,2322,2527,2704,2905,3109,3558,3929,0,0,0,0,10,38,46,47,49,58,61,63,64,12.21393069,12.47395029,9.436812471,9.521270543,6.575884106,6.548090591,4.407190263,4.362895171,3.016748999,2.886067627,3.648302152,3.105808151,Africa
178,Spain,0,2,19259,112050,150376,150376,150376,150376,150376,150376,150376,150376,150376,0,45,95923,213435,239479,249271,288522,462858,769188,1185678,1648187,1928265,2743119,0,0,8464,24543,27127,28355,28445,29094,31791,35878,45069,50837,58319,5.029026165,5.559686295,4.652055713,5.047679839,5.70202456,5.926056617,8.383351978,8.960204433,7.529520989,7.848018924,21.84754258,17.37132593,Europe
179,Sri Lanka,0,1,17,154,801,1711,2391,2868,3230,4399,17560,35329,57159,1,1,143,663,1633,2047,2815,3049,3380,10663,23987,43299,64157,0,0,2,7,10,11,11,12,13,20,118,204,316,7.751535371,8.44981856,6.777388459,7.220277884,6.716443413,6.237868786,7.047182322,7.107822755,6.079680846,6.210360862,12.00716589,9.573050639,Asia
180,St. Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
181,Sudan,0,0,1,39,1423,4014,6119,6612,6764,6764,10302,13524,21410,0,0,7,375,4800,9372,11579,13189,13646,13804,18045,25500,29380,0,0,2,31,286,572,746,823,836,837,1249,1468,1807,12.05545449,12.39550895,9.328176373,9.540065446,6.385064448,6.303351288,4.754187355,4.447905167,3.285277799,3.155991157,3.879538383,3.374628225,Africa
182,Suriname,0,0,0,8,9,227,1080,3140,4695,5060,5194,5731,7671,0,0,9,10,23,515,1650,4034,4877,5203,5312,6210,8438,0,0,0,1,1,13,26,71,104,111,117,122,154,8.579492785,9.125592377,8.147128409,8.599339618,7.177594532,7.451369523,6.146491968,6.070725907,5.636647896,5.646781064,8.179988101,5.861661905,South America
183,Sweden,0,0,16,1005,4971,0,0,0,0,0,0,0,0,1,12,4435,21092,37542,68451,80422,84379,92863,124355,243129,437379,566957,0,0,180,2586,4395,5333,5743,5808,5893,5938,6681,8727,11591,5.606776092,5.905188976,5.483362517,5.804743198,6.588836021,6.831248108,6.012779611,6.208555919,6.614879797,6.807489737,21.65964117,18.74195245,Europe
184,Switzerland,0,0,1823,23400,28500,29200,31100,36100,42700,65200,250200,317600,317600,0,18,16605,29586,30862,31714,35232,42177,53282,154251,327072,452296,521320,0,0,433,1737,1920,1963,1981,2006,2074,2297,4815,7645,9381,4.592537003,4.90348798,5.545454545,5.842285974,6.862885908,7.094509514,6.494585171,6.687413056,7.788556123,8.085083512,20.51804558,17.13025279,Europe
185,Syria,0,0,0,21,46,105,237,629,1103,1976,3560,5350,7562,0,0,10,43,122,279,757,2765,4200,5728,7887,11434,14048,0,0,2,3,5,9,43,112,200,288,417,711,921,,,,,,,,,,,,,
186,Taiwan,0,9,39,322,423,437,440,462,483,515,565,671,830,10,39,322,429,442,447,467,488,514,555,675,799,911,0,1,5,6,7,7,7,7,7,7,7,7,8,,,,,,,,,,,,,
187,Tajikistan,0,0,0,0,2004,4506,6193,7376,8572,10233,11599,12851,13218,0,0,0,15,3930,5900,7409,8583,9769,11017,12194,13296,13308,0,0,0,0,47,52,60,68,76,82,86,90,90,9.81341403,10.21889746,8.900059917,9.119823038,8.282461654,8.096100578,4.988460049,4.829614089,4.095763205,3.795184839,3.33254742,2.843366036,Asia
188,Tanzania,0,0,1,167,183,183,183,183,183,183,183,183,183,0,0,19,480,509,509,509,509,509,509,509,509,509,0,0,1,16,21,21,21,21,21,21,21,21,21,12.68293296,12.97493246,8.767834724,8.839586288,6.536118718,6.512676178,4.464727454,4.455304805,2.782313356,2.700956615,3.0241786,2.216294813,Africa
189,Thailand,8,28,342,2687,2963,3056,3125,3252,3379,3592,3811,4273,12514,19,42,1651,2954,3081,3171,3310,3412,3569,3784,4008,7163,19618,0,0,10,54,57,58,58,58,59,59,60,63,77,5.660938948,6.320120139,6.677746133,7.286515916,6.268952753,6.58882509,7.804223513,7.741235574,8.166200947,7.805662943,13.62866414,11.11849026,Asia
190,The Gambia,0,0,0,8,20,27,68,1032,2161,3196,3601,3664,3792,0,0,4,11,25,49,498,2963,3579,3672,3742,3797,4090,0,0,1,1,1,2,9,96,112,119,123,124,128,,,,,,,,,,,,,
191,Togo,0,0,10,65,211,402,641,1005,1348,1660,2478,3393,4268,0,0,34,116,442,650,941,1400,1784,2331,2974,3633,5074,0,0,1,9,13,14,19,28,48,57,64,68,77,12.2977916,12.51092486,8.840014053,8.985396874,6.865182252,6.924782734,4.97964775,4.915652858,3.097412348,2.945571433,3.116369867,2.655916487,Africa
192,Trinidad and Tobago,0,0,1,72,108,113,132,676,2560,4610,5771,6650,7168,0,0,87,116,117,130,169,1759,4531,5692,6669,7150,7564,0,0,3,8,8,8,8,22,76,108,120,127,134,6.663862082,7.019631863,6.104928278,6.378395952,8.500156518,8.797327071,6.952535953,7.085671324,6.132265892,6.001172745,12.11523725,10.09649018,North America
193,Tunisia,0,0,3,305,960,1031,1195,1573,5032,5032,70851,105364,157446,0,0,394,994,1077,1174,1535,3803,18413,59813,96769,139140,208885,0,0,10,41,48,50,50,77,265,1317,3260,4676,6754,6.776031031,7.419290856,6.865266763,7.476120994,8.243316096,7.866877775,7.19541523,6.785552899,6.247077835,5.853072967,9.383691771,7.790075164,Africa
194,Turkey,0,0,243,48886,127973,173111,214535,244926,279749,323971,404727,2100650,2362415,0,0,13531,120204,163942,199906,230873,270133,318663,375367,638847,2208652,2477463,0,0,214,3174,4540,5131,5691,6370,8195,10252,13746,20881,25993,7.825780912,8.397443621,7.801187896,8.298217681,7.543313835,7.822649643,7.072863533,7.098639085,5.635419226,5.472756899,9.926592969,7.493903452,Asia
195,Uganda,0,0,0,52,72,819,1028,1288,4260,7503,8989,11733,14179,0,0,44,83,417,889,1154,2972,8129,12495,20459,35216,39579,0,0,0,0,0,0,3,32,75,111,205,251,324,13.2626176,13.86790929,9.468792344,9.328837135,6.325702826,5.990223581,3.903572994,3.714714695,2.342686035,2.254346117,2.328827333,1.585286231,Africa
196,Ukraine,0,0,10,1238,9538,19792,39945,59162,95829,165902,360360,736611,1054177,0,0,645,10406,23672,45254,71404,124132,214446,399330,752343,1086997,1261546,0,0,17,261,708,1173,1717,2605,4221,7399,12731,19281,23860,4.774224612,5.873902787,4.616792479,5.626751587,7.624882382,9.162519715,7.16411274,7.857800641,6.511038501,6.470825417,20.71235531,12.06126025,Europe
197,United Arab Emirates,0,5,61,2429,17932,37566,53909,60931,83724,128902,154899,184442,276958,4,21,664,12481,34557,48667,60506,70231,94190,132629,168860,207822,303609,0,0,6,105,264,315,351,384,419,495,572,669,850,7.139347209,3.221904101,7.75205412,7.600350889,15.36218422,18.64687712,7.833353309,10.54055636,3.994912975,4.914223934,1.282809316,1.100799993,Asia
198,United Kingdom,0,8,179,859,1190,1370,1439,1682,2373,2839,3570,5479,9652,2,23,25481,172481,276156,314160,304793,338083,455846,1014793,1633733,2496231,3828183,0,0,1793,26842,38571,43815,46204,41589,42233,46645,58545,73622,106367,5.55694791,5.952763352,5.920899451,6.286329209,6.845339993,7.028141368,6.266134671,6.383833259,6.945978618,6.898866571,19.78480122,17.20109794,Europe
199,United States,0,7,7024,153947,444758,720631,1438160,2184825,2840688,3612478,5146319,0,0,6,70,188417,1070402,1791791,2646739,4576186,6043650,7253954,9186169,13655181,20061049,26186781,0,1,3868,63391,104816,127613,153863,184207,207666,232027,271710,352752,447772,6.220968464,6.636407673,6.624465562,7.015787419,6.732101803,7.070152715,6.082829683,6.165810475,6.253227514,6.43089296,17.72616577,14.66124093,North America
200,Uruguay,0,0,41,417,685,824,994,1409,1791,2560,4357,13468,34683,0,0,338,643,823,936,1264,1595,2046,3124,5857,19119,41738,0,0,1,17,22,27,35,44,48,58,77,181,436,6.416320547,7.191087447,7.036989857,7.790888031,6.539459908,7.095865814,6.618796519,6.959014624,5.662622734,5.63243134,17.61976755,12.07454562,South America
201,Uzbekistan,0,0,7,1133,2837,5682,14464,39275,53366,64235,70337,74943,77191,0,0,172,2039,3623,8503,24009,41893,56717,66932,73094,77060,78711,0,0,2,9,15,26,141,320,470,566,610,614,621,8.350656219,8.832965068,8.503121809,8.915809469,8.916161105,9.014076253,6.269284659,6.12423037,4.930684564,4.510053303,5.175760675,4.011740707,Asia
202,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.69273018,12.28179797,8.599604989,8.441310725,7.798084467,6.985095831,5.257568789,5.162525158,3.668055518,3.794446125,3.527366684,3.703679343,Australia
203,Vatican City,0,0,0,2,2,12,12,12,12,15,15,15,15,0,0,6,11,12,12,12,12,12,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
204,Venezuela,0,0,39,142,302,1649,10421,38112,65225,86773,97326,107583,118887,0,0,135,333,1510,5832,18574,46728,75122,92013,102394,113558,126927,0,0,3,16,14,51,164,386,628,798,897,1028,1189,,,,,,,,,,,,,
205,Vietnam,0,16,58,219,279,335,373,707,1010,1062,1179,1325,1457,2,16,212,270,328,355,558,1044,1094,1180,1347,1465,1817,0,0,0,0,0,0,3,34,35,35,35,35,35,6.863436374,7.601626638,7.207407394,7.607674235,8.516370557,8.787290126,7.168194594,7.223801317,6.036047128,5.937062785,9.156091451,5.945905735,Asia
206,West Bank and Gaza,0,0,18,76,372,451,5077,15056,31743,46309,64987,117183,148993,0,0,119,344,448,2428,11837,22729,39899,53520,85647,138004,158962,0,0,1,2,3,8,82,152,311,483,732,1400,1833,,,,,,,,,,,,,
207,Yemen,0,0,0,1,14,488,862,1131,1286,1366,1382,1394,1426,0,0,0,6,323,1158,1728,1958,2034,2063,2077,2099,2121,0,0,0,2,80,312,493,566,587,599,605,610,615,,,,,,,,,,,,,
208,Zambia,0,0,0,55,779,1329,3803,11469,13959,15680,16998,18660,48000,0,0,35,106,1057,1594,5963,12097,14759,16432,17647,20725,54217,0,0,0,3,7,24,151,288,332,349,357,388,763,13.06806967,13.50012563,9.415501751,9.43025918,6.572686082,6.378099637,4.358392605,4.31836208,2.359029122,2.262593668,2.549729314,1.67226531,Africa
209,Zimbabwe,0,0,0,5,29,162,1004,5221,6303,7894,8482,11250,26044,0,0,8,40,178,591,3169,6497,7838,8367,9950,13867,33388,0,0,1,4,4,7,67,202,228,243,276,363,1217,12.1292671,13.35634902,9.081089829,9.374293409,7.377945007,6.218030221,4.984312436,4.711676468,2.65919876,2.468728131,3.663020156,2.231993714,Africa
