,Country,January_2020_recovery,February_2020_recovery,March_2020_recovery,April_2020_recovery,May_2020_recovery,June_2020_recovery,July_2020_recovery,August_2020_recovery,September_2020_recovery,October_2020_recovery,November_2020_recovery,December_2020_recovery,January_2021_recovery,January_2020_cases,February_2020_cases,March_2020_cases,April_2020_cases,May_2020_cases,June_2020_cases,July_2020_cases,August_2020_cases,September_2020_cases,October_2020_cases,November_2020_cases,December_2020_cases,January_2021_cases,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,ages_10-14_female,ages_10-14_male,ages_20-24_female,ages_20-24_male,ages_30-34_female,ages_30-34_male,ages_40-44_female,ages_40-44_male,ages_50-54_female,ages_50-54_male,ages_65_and_above_female,ages_65_and_above_male,Countries_Binned
25,Brunei,0,0,45,124,138,138,138,139,142,143,145,149,170,0,0,129,138,141,141,141,144,146,148,150,157,180,0,0,1,1,2,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
26,Bulgaria,0,0,17,266,1074,2676,6319,11483,14634,20045,50565,119527,187052,0,0,399,1506,2513,4989,11690,16266,20833,52844,145300,202266,218748,0,0,8,66,140,230,383,629,825,1279,4035,7576,9045,4.928080425,5.517471193,4.17942686,4.734336572,6.533107893,7.385059178,7.296233427,8.18860524,6.540802203,7.020182621,24.70556765,17.59801462,Europe
27,Burkina Faso,0,0,32,506,720,838,935,1058,1335,2250,2593,5100,9253,0,0,261,645,847,962,1106,1368,2056,2500,2886,6707,10682,0,0,14,43,53,53,53,55,58,67,68,85,120,12.77593821,13.28713075,8.99464487,9.293870754,6.291032022,6.3400801,4.296764305,4.13860222,2.790062012,2.453089712,2.917361971,1.895923185,Africa
28,Burma,0,0,0,27,138,222,296,354,3755,32774,70156,107069,125072,0,0,15,151,224,299,353,882,13373,52706,90713,124630,140145,0,0,1,6,6,6,6,6,310,1237,1941,2682,3131,,,,,,,,,,,,,
29,Burundi,0,0,0,4,33,115,304,357,472,511,575,687,773,0,0,2,11,63,170,387,445,508,585,688,818,1632,0,0,0,1,1,1,1,1,1,1,1,2,2,12.43262385,12.71231903,8.895329659,8.951199058,7.334586117,7.302026163,3.631881057,3.531533901,2.383461735,2.075804321,2.563705038,2.056360321,Africa
30,Cambodia,0,1,23,119,123,130,164,266,275,283,304,362,443,1,1,109,122,125,141,239,274,277,291,326,378,466,0,0,0,0,0,0,0,0,0,0,0,0,0,9.308513222,10.18299905,9.104583408,9.876190514,7.986405785,7.832055316,3.58744655,3.286442616,4.580493503,4.182885228,5.568694013,3.825401709,Asia
31,Cameroon,0,0,5,934,3568,10100,15320,17651,19440,20117,22177,24892,28045,0,0,193,1832,5904,12592,17255,19142,20838,21793,24445,26277,29617,0,0,6,61,191,313,391,411,418,426,437,448,462,12.41767164,12.59705618,9.094057346,9.148698509,6.995469162,6.998609266,4.449764808,4.460442129,2.740494907,2.6781911,3.01979081,2.427625563,Africa
32,Canada,0,6,1592,21424,49213,69120,102906,116020,137181,198952,304595,493638,710699,3,20,8527,54457,92479,106097,118281,130918,161107,237313,381557,584409,783695,0,0,152,4179,7906,8780,9025,9193,9391,10276,12239,15762,20041,5.099811646,5.423626682,6.240302427,6.632415653,6.878562144,6.984336714,6.470290489,6.492366918,6.566366892,6.717275554,18.93577398,16.340662,North America
33,Cape Verde,0,0,0,4,193,629,1824,2916,5277,7981,10329,11559,13144,0,0,6,121,435,1227,2451,3884,6024,8793,10761,11840,14070,0,0,1,1,4,15,23,40,60,95,105,113,134,,,,,,,,,,,,,
34,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,North America
35,Central African Republic,0,0,0,10,23,787,1606,1790,1914,1924,1924,1924,4885,0,0,3,50,1011,3745,4608,4711,4829,4866,4913,4963,4981,0,0,0,0,2,47,59,62,62,62,63,63,63,13.69280371,14.02971038,9.681072168,9.880343014,5.683255014,5.797643085,3.841081796,3.803870197,2.75517444,2.589102851,3.368117914,2.251769047,Africa
36,Chad,0,0,0,33,491,781,813,880,1007,1314,1525,1704,2464,0,0,7,73,778,866,936,1013,1200,1483,1688,2113,3376,0,0,0,5,65,74,75,77,85,98,101,104,118,13.28083132,13.37663535,9.247141376,9.330895637,5.947778462,5.98774804,3.66302045,3.695649607,2.237452356,2.150901662,2.71089708,2.271697761,Africa
37,Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
38,Chile,0,0,156,8580,42727,241229,328327,383879,436589,486642,526604,577382,681981,0,0,2738,16023,99688,279393,355667,411726,462991,510256,551743,608973,727109,0,0,12,227,1054,5688,9457,11289,12741,14207,15410,16608,18452,6.358276846,6.771679555,7.349904441,7.798293986,7.723224166,8.180534018,6.813061581,7.005478831,6.420200242,6.336205522,13.34145868,10.37972017,South America
39,China,214,39279,76200,78523,79389,79632,80787,84594,85460,86135,87017,89923,92779,9783,79251,82279,83956,84146,84785,87655,89914,90545,91366,92902,95963,100063,213,2835,3309,4637,4638,4641,4661,4723,4739,4739,4743,4782,4817,5.535714505,6.123239065,5.96139077,6.38320575,8.833293813,8.910085033,6.984963849,6.954024745,8.552534303,8.284975686,12.49820598,10.49846481,Asia
