,Country,2020-01-31_recovery,2020-02-29_recovery,2020-03-31_recovery,2020-04-30_recovery,2020-05-31_recovery,2020-06-30_recovery,2020-07-31_recovery,2020-08-31_recovery,2020-09-30_recovery,2020-10-31_recovery,2020-11-30_recovery,2020-12-31_recovery,2021-01-31_recovery,2020-01-31_cases,2020-02-29_cases,2020-03-31_cases,2020-04-30_cases,2020-05-31_cases,2020-06-30_cases,2020-07-31_cases,2020-08-31_cases,2020-09-30_cases,2020-10-31_cases,2020-11-30_cases,2020-12-31_cases,2021-01-31_cases,2020-01-31_deaths,2020-02-29_deaths,2020-03-31_deaths,2020-04-30_deaths,2020-05-31_deaths,2020-06-30_deaths,2020-07-31_deaths,2020-08-31_deaths,2020-09-30_deaths,2020-10-31_deaths,2020-11-30_deaths,2020-12-31_deaths,2021-01-31_deaths,Country_clean_deaths,Country_Binned_deaths
10,Austria,0,0,1095,12907,15593,16478,18758,23226,35644,67226,221692,332952,392497,0,9,10180,15452,16731,17766,21130,27438,44813,104925,282456,360815,414398,0,0,128,584,668,705,718,733,799,1109,3184,6222,7721,Austria,Europe
11,Azerbaijan,0,0,26,1325,3428,9715,25882,33847,37954,43543,74902,184422,223315,0,0,298,1804,5494,17524,31878,36435,40229,55269,121176,218700,230219,0,0,5,24,63,213,448,534,591,730,1392,2641,3132,Azerbaijan,Asia
12,Bahamas,0,0,1,25,48,87,91,801,2206,4422,5889,6230,6771,0,0,14,81,102,104,574,2217,4123,6714,7541,7871,8174,0,0,0,11,11,11,14,50,96,144,163,170,176,Bahamas,North America
13,Bahrain,0,0,295,1500,6673,21331,37840,49047,64838,78719,85141,90217,98599,0,41,567,3040,11398,26758,40982,51972,70864,81645,86956,92675,103057,0,0,4,8,19,87,147,190,251,321,341,352,375,Bahrain,Asia
14,Bangladesh,0,0,25,160,9781,59624,135136,204887,275487,324145,380711,457459,479744,0,0,51,7667,47153,145483,237661,312996,363479,407684,464932,513510,535139,0,0,5,168,650,1847,3111,4281,5251,5923,6644,7559,8127,Bangladesh,Asia
15,Barbados,0,0,0,39,76,90,96,146,179,221,250,319,1158,0,0,34,81,92,97,110,174,190,237,276,383,1545,0,0,0,7,7,7,7,7,7,7,7,7,14,Barbados,North America
16,Belarus,0,0,47,2386,18514,46054,62444,70468,74525,86663,114341,175147,235838,0,1,152,14027,42556,62118,67808,71843,78631,98482,136647,194284,248336,0,0,1,89,235,392,559,681,833,980,1158,1424,1718,Belarus,Europe
17,Belgium,0,1,1696,11576,15887,16984,17546,18422,19454,25569,0,0,0,0,1,12775,48519,58381,61427,68751,85236,118452,429229,577345,646496,710153,0,0,705,7594,9467,9747,9841,9895,10016,11625,16645,19528,21092,Belgium,Europe
18,Belize,0,0,0,9,16,18,30,173,1246,2160,3151,9795,11309,0,0,3,18,18,24,48,1007,1992,3487,5854,10776,11908,0,0,0,2,2,2,2,13,27,59,148,248,301,Belize,North America
19,Benin,0,0,1,33,143,333,1036,1738,1973,2418,2839,3061,3421,0,0,9,64,232,1199,1805,2145,2357,2643,3015,3251,3893,0,0,0,1,3,21,36,40,41,41,43,44,52,Benin,Africa
20,Bhutan,0,0,0,5,6,48,89,142,222,324,381,448,814,0,0,4,7,43,77,101,225,282,349,410,670,859,0,0,0,0,0,0,0,0,0,0,0,0,1,Bhutan,Asia
21,Bolivia,0,0,0,117,968,9340,23582,60408,95529,111503,121702,132097,159222,0,0,107,1110,9982,33219,76789,116598,135311,141757,144708,160124,216835,0,0,6,59,313,1123,2977,5027,7965,8725,8957,9165,10379,Bolivia,South America
22,Bosnia and Herzegovina,0,0,17,727,1862,2402,5959,13095,20616,28083,52769,77225,94604,0,0,420,1757,2510,4453,11876,19964,27469,50090,87901,110985,121497,0,0,13,69,153,186,339,609,856,1234,2681,4050,4679,Bosnia and Herzegovina,Europe
23,Botswana,0,0,0,5,20,28,63,224,710,4676,7912,12136,17198,0,0,4,23,35,227,804,1633,3172,6642,10742,14805,21293,0,0,1,1,1,1,2,6,16,24,34,42,134,Botswana,Africa
24,Brazil,0,0,127,35935,206555,788318,2008854,3268591,4274774,5005161,5597802,6848844,8176373,0,2,5717,87187,514849,1402041,2662485,3908272,4810935,5535605,6335878,7675973,9204731,0,0,201,6006,29314,59594,92475,121381,143952,159884,173120,194949,224504,Brazil,South America
25,Brunei,0,0,45,124,138,138,138,139,142,143,145,149,170,0,0,129,138,141,141,141,144,146,148,150,157,180,0,0,1,1,2,3,3,3,3,3,3,3,3,Brunei,Asia
26,Bulgaria,0,0,17,266,1074,2676,6319,11483,14634,20045,50565,119527,187052,0,0,399,1506,2513,4989,11690,16266,20833,52844,145300,202266,218748,0,0,8,66,140,230,383,629,825,1279,4035,7576,9045,Bulgaria,Europe
27,Burkina Faso,0,0,32,506,720,838,935,1058,1335,2250,2593,5100,9253,0,0,261,645,847,962,1106,1368,2056,2500,2886,6707,10682,0,0,14,43,53,53,53,55,58,67,68,85,120,Burkina Faso,Africa
28,Burma,0,0,0,27,138,222,296,354,3755,32774,70156,107069,125072,0,0,15,151,224,299,353,882,13373,52706,90713,124630,140145,0,0,1,6,6,6,6,6,310,1237,1941,2682,3131,Myanmar,Asia
29,Burundi,0,0,0,4,33,115,304,357,472,511,575,687,773,0,0,2,11,63,170,387,445,508,585,688,818,1632,0,0,0,1,1,1,1,1,1,1,1,2,2,Burundi,Africa
30,Cambodia,0,1,23,119,123,130,164,266,275,283,304,362,443,1,1,109,122,125,141,239,274,277,291,326,378,466,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambodia,Asia
